id,name,contract_type,aplica_firma,active
16,1,4,True,True
17,2,4,True,True
18,3,4,True,True
19,4,4,True,True
20,5,4,True,True
21,6,4,True,True
22,7,4,True,True
23,8,4,True,True
24,9,4,True,True
25,10,4,True,True
26,11,4,True,True
27,12,4,True,True
28,13,4,True,True
29,14,4,True,True
30,15,4,True,True
31,1,6,True,True
32,2,6,True,True
33,3,6,True,True
34,4,6,True,True
35,5,6,True,True
36,6,6,True,True
37,7,6,True,True
38,8,6,True,True
39,9,6,True,True
40,10,6,True,True
41,11,6,True,True
42,12,6,True,True
43,13,6,True,True
44,14,6,True,True
45,15,6,True,True
46,1,7,True,True
47,2,7,True,True
48,3,7,True,True
49,4,7,True,True
50,5,7,True,True
51,6,7,True,True
52,7,7,True,True
53,8,7,True,True
54,9,7,True,True
55,10,7,True,True
56,11,7,True,True
57,12,7,True,True
58,13,7,True,True
59,14,7,True,True
60,15,7,True,True
61,1,8,True,True
62,2,8,True,True
63,3,8,True,True
64,4,8,True,True
65,5,8,True,True
66,6,8,True,True
67,7,8,True,True
68,8,8,True,True
69,9,8,True,True
70,10,8,True,True
71,11,8,True,True
72,12,8,True,True
73,13,8,True,True
74,14,8,True,True
75,15,8,True,True
76,1,9,True,True
77,2,9,True,True
78,3,9,True,True
79,4,9,True,True
80,5,9,True,True
81,6,9,True,True
82,7,9,True,True
83,8,9,True,True
84,9,9,True,True
85,10,9,True,True
86,11,9,True,True
87,12,9,True,True
88,13,9,True,True
89,14,9,True,True
90,15,9,True,True
